test_name,n,h_label,estimator,bandwidth,rejection_rate
LinearMMD_test,200,Alternative,LL,0.1,0.056
LinearMMD_test,200,Alternative,LL,0.5,0.072
LinearMMD_test,200,Alternative,LL,1,0.066
LinearMMD_test,200,Alternative,LL,median,0.068
LinearMMD_test,200,Alternative,LL,5,0.056
LinearMMD_test,200,Alternative,LL,10,0.056
LinearMMD_test,200,Alternative,KLR,0.1,0.0460000000000001
LinearMMD_test,200,Alternative,KLR,0.5,0.058
LinearMMD_test,200,Alternative,KLR,1,0.064
LinearMMD_test,200,Alternative,KLR,median,0.054
LinearMMD_test,200,Alternative,KLR,5,0.064
LinearMMD_test,200,Alternative,KLR,10,0.06
CV_LinearMMD_test,200,Alternative,LL,0.1,0.05
CV_LinearMMD_test,200,Alternative,LL,0.5,0.0820000000000001
CV_LinearMMD_test,200,Alternative,LL,1,0.078
CV_LinearMMD_test,200,Alternative,LL,median,0.056
CV_LinearMMD_test,200,Alternative,LL,5,0.0420000000000001
CV_LinearMMD_test,200,Alternative,LL,10,0.04
CV_LinearMMD_test,200,Alternative,KLR,0.1,0.0420000000000001
CV_LinearMMD_test,200,Alternative,KLR,0.5,0.062
CV_LinearMMD_test,200,Alternative,KLR,1,0.084
CV_LinearMMD_test,200,Alternative,KLR,median,0.05
CV_LinearMMD_test,200,Alternative,KLR,5,0.084
CV_LinearMMD_test,200,Alternative,KLR,10,0.08
LinearMMD_test,200,Null,LL,0.1,0.056
LinearMMD_test,200,Null,LL,0.5,0.044
LinearMMD_test,200,Null,LL,1,0.048
LinearMMD_test,200,Null,LL,median,0.05
LinearMMD_test,200,Null,LL,5,0.054
LinearMMD_test,200,Null,LL,10,0.054
LinearMMD_test,200,Null,KLR,0.1,0.044
LinearMMD_test,200,Null,KLR,0.5,0.04
LinearMMD_test,200,Null,KLR,1,0.044
LinearMMD_test,200,Null,KLR,median,0.038
LinearMMD_test,200,Null,KLR,5,0.0420000000000001
LinearMMD_test,200,Null,KLR,10,0.048
CV_LinearMMD_test,200,Null,LL,0.1,0.064
CV_LinearMMD_test,200,Null,LL,0.5,0.076
CV_LinearMMD_test,200,Null,LL,1,0.052
CV_LinearMMD_test,200,Null,LL,median,0.07
CV_LinearMMD_test,200,Null,LL,5,0.042
CV_LinearMMD_test,200,Null,LL,10,0.038
CV_LinearMMD_test,200,Null,KLR,0.1,0.048
CV_LinearMMD_test,200,Null,KLR,0.5,0.058
CV_LinearMMD_test,200,Null,KLR,1,0.046
CV_LinearMMD_test,200,Null,KLR,median,0.06
CV_LinearMMD_test,200,Null,KLR,5,0.048
CV_LinearMMD_test,200,Null,KLR,10,0.0540000000000001
LinearMMD_test,400,Alternative,LL,0.1,0.066
LinearMMD_test,400,Alternative,LL,0.5,0.07
LinearMMD_test,400,Alternative,LL,1,0.07
LinearMMD_test,400,Alternative,LL,median,0.07
LinearMMD_test,400,Alternative,LL,5,0.062
LinearMMD_test,400,Alternative,LL,10,0.058
LinearMMD_test,400,Alternative,KLR,0.1,0.062
LinearMMD_test,400,Alternative,KLR,0.5,0.06
LinearMMD_test,400,Alternative,KLR,1,0.068
LinearMMD_test,400,Alternative,KLR,median,0.064
LinearMMD_test,400,Alternative,KLR,5,0.066
LinearMMD_test,400,Alternative,KLR,10,0.064
CV_LinearMMD_test,400,Alternative,LL,0.1,0.0699999999999999
CV_LinearMMD_test,400,Alternative,LL,0.5,0.07
CV_LinearMMD_test,400,Alternative,LL,1,0.09
CV_LinearMMD_test,400,Alternative,LL,median,0.07
CV_LinearMMD_test,400,Alternative,LL,5,0.07
CV_LinearMMD_test,400,Alternative,LL,10,0.066
CV_LinearMMD_test,400,Alternative,KLR,0.1,0.052
CV_LinearMMD_test,400,Alternative,KLR,0.5,0.0580000000000001
CV_LinearMMD_test,400,Alternative,KLR,1,0.062
CV_LinearMMD_test,400,Alternative,KLR,median,0.0660000000000001
CV_LinearMMD_test,400,Alternative,KLR,5,0.072
CV_LinearMMD_test,400,Alternative,KLR,10,0.072
LinearMMD_test,400,Null,LL,0.1,0.05
LinearMMD_test,400,Null,LL,0.5,0.054
LinearMMD_test,400,Null,LL,1,0.054
LinearMMD_test,400,Null,LL,median,0.05
LinearMMD_test,400,Null,LL,5,0.06
LinearMMD_test,400,Null,LL,10,0.058
LinearMMD_test,400,Null,KLR,0.1,0.046
LinearMMD_test,400,Null,KLR,0.5,0.042
LinearMMD_test,400,Null,KLR,1,0.046
LinearMMD_test,400,Null,KLR,median,0.04
LinearMMD_test,400,Null,KLR,5,0.044
LinearMMD_test,400,Null,KLR,10,0.038
CV_LinearMMD_test,400,Null,LL,0.1,0.028
CV_LinearMMD_test,400,Null,LL,0.5,0.06
CV_LinearMMD_test,400,Null,LL,1,0.06
CV_LinearMMD_test,400,Null,LL,median,0.048
CV_LinearMMD_test,400,Null,LL,5,0.066
CV_LinearMMD_test,400,Null,LL,10,0.062
CV_LinearMMD_test,400,Null,KLR,0.1,0.036
CV_LinearMMD_test,400,Null,KLR,0.5,0.046
CV_LinearMMD_test,400,Null,KLR,1,0.058
CV_LinearMMD_test,400,Null,KLR,median,0.042
CV_LinearMMD_test,400,Null,KLR,5,0.062
CV_LinearMMD_test,400,Null,KLR,10,0.056
LinearMMD_test,800,Alternative,LL,0.1,0.052
LinearMMD_test,800,Alternative,LL,0.5,0.064
LinearMMD_test,800,Alternative,LL,1,0.064
LinearMMD_test,800,Alternative,LL,median,0.058
LinearMMD_test,800,Alternative,LL,5,0.046
LinearMMD_test,800,Alternative,LL,10,0.042
LinearMMD_test,800,Alternative,KLR,0.1,0.052
LinearMMD_test,800,Alternative,KLR,0.5,0.064
LinearMMD_test,800,Alternative,KLR,1,0.07
LinearMMD_test,800,Alternative,KLR,median,0.058
LinearMMD_test,800,Alternative,KLR,5,0.072
LinearMMD_test,800,Alternative,KLR,10,0.072
CV_LinearMMD_test,800,Alternative,LL,0.1,0.08
CV_LinearMMD_test,800,Alternative,LL,0.5,0.0859999999999999
CV_LinearMMD_test,800,Alternative,LL,1,0.1
CV_LinearMMD_test,800,Alternative,LL,median,0.08
CV_LinearMMD_test,800,Alternative,LL,5,0.042
CV_LinearMMD_test,800,Alternative,LL,10,0.042
CV_LinearMMD_test,800,Alternative,KLR,0.1,0.068
CV_LinearMMD_test,800,Alternative,KLR,0.5,0.0779999999999999
CV_LinearMMD_test,800,Alternative,KLR,1,0.084
CV_LinearMMD_test,800,Alternative,KLR,median,0.076
CV_LinearMMD_test,800,Alternative,KLR,5,0.09
CV_LinearMMD_test,800,Alternative,KLR,10,0.088
LinearMMD_test,800,Null,LL,0.1,0.05
LinearMMD_test,800,Null,LL,0.5,0.034
LinearMMD_test,800,Null,LL,1,0.036
LinearMMD_test,800,Null,LL,median,0.038
LinearMMD_test,800,Null,LL,5,0.036
LinearMMD_test,800,Null,LL,10,0.04
LinearMMD_test,800,Null,KLR,0.1,0.042
LinearMMD_test,800,Null,KLR,0.5,0.028
LinearMMD_test,800,Null,KLR,1,0.032
LinearMMD_test,800,Null,KLR,median,0.044
LinearMMD_test,800,Null,KLR,5,0.036
LinearMMD_test,800,Null,KLR,10,0.038
CV_LinearMMD_test,800,Null,LL,0.1,0.05
CV_LinearMMD_test,800,Null,LL,0.5,0.044
CV_LinearMMD_test,800,Null,LL,1,0.044
CV_LinearMMD_test,800,Null,LL,median,0.06
CV_LinearMMD_test,800,Null,LL,5,0.042
CV_LinearMMD_test,800,Null,LL,10,0.04
CV_LinearMMD_test,800,Null,KLR,0.1,0.056
CV_LinearMMD_test,800,Null,KLR,0.5,0.042
CV_LinearMMD_test,800,Null,KLR,1,0.042
CV_LinearMMD_test,800,Null,KLR,median,0.064
CV_LinearMMD_test,800,Null,KLR,5,0.048
CV_LinearMMD_test,800,Null,KLR,10,0.042
LinearMMD_test,1200,Alternative,LL,0.1,0.054
LinearMMD_test,1200,Alternative,LL,0.5,0.08
LinearMMD_test,1200,Alternative,LL,1,0.086
LinearMMD_test,1200,Alternative,LL,median,0.056
LinearMMD_test,1200,Alternative,LL,5,0.062
LinearMMD_test,1200,Alternative,LL,10,0.0460000000000001
LinearMMD_test,1200,Alternative,KLR,0.1,0.046
LinearMMD_test,1200,Alternative,KLR,0.5,0.0820000000000001
LinearMMD_test,1200,Alternative,KLR,1,0.084
LinearMMD_test,1200,Alternative,KLR,median,0.054
LinearMMD_test,1200,Alternative,KLR,5,0.084
LinearMMD_test,1200,Alternative,KLR,10,0.084
CV_LinearMMD_test,1200,Alternative,LL,0.1,0.074
CV_LinearMMD_test,1200,Alternative,LL,0.5,0.124
CV_LinearMMD_test,1200,Alternative,LL,1,0.12
CV_LinearMMD_test,1200,Alternative,LL,median,0.08
CV_LinearMMD_test,1200,Alternative,LL,5,0.088
CV_LinearMMD_test,1200,Alternative,LL,10,0.064
CV_LinearMMD_test,1200,Alternative,KLR,0.1,0.066
CV_LinearMMD_test,1200,Alternative,KLR,0.5,0.116
CV_LinearMMD_test,1200,Alternative,KLR,1,0.118
CV_LinearMMD_test,1200,Alternative,KLR,median,0.0900000000000001
CV_LinearMMD_test,1200,Alternative,KLR,5,0.114
CV_LinearMMD_test,1200,Alternative,KLR,10,0.12
LinearMMD_test,1200,Null,LL,0.1,0.048
LinearMMD_test,1200,Null,LL,0.5,0.044
LinearMMD_test,1200,Null,LL,1,0.0580000000000001
LinearMMD_test,1200,Null,LL,median,0.056
LinearMMD_test,1200,Null,LL,5,0.0540000000000001
LinearMMD_test,1200,Null,LL,10,0.04
LinearMMD_test,1200,Null,KLR,0.1,0.054
LinearMMD_test,1200,Null,KLR,0.5,0.048
LinearMMD_test,1200,Null,KLR,1,0.052
LinearMMD_test,1200,Null,KLR,median,0.062
LinearMMD_test,1200,Null,KLR,5,0.052
LinearMMD_test,1200,Null,KLR,10,0.052
CV_LinearMMD_test,1200,Null,LL,0.1,0.058
CV_LinearMMD_test,1200,Null,LL,0.5,0.058
CV_LinearMMD_test,1200,Null,LL,1,0.0620000000000001
CV_LinearMMD_test,1200,Null,LL,median,0.048
CV_LinearMMD_test,1200,Null,LL,5,0.062
CV_LinearMMD_test,1200,Null,LL,10,0.056
CV_LinearMMD_test,1200,Null,KLR,0.1,0.048
CV_LinearMMD_test,1200,Null,KLR,0.5,0.056
CV_LinearMMD_test,1200,Null,KLR,1,0.062
CV_LinearMMD_test,1200,Null,KLR,median,0.054
CV_LinearMMD_test,1200,Null,KLR,5,0.056
CV_LinearMMD_test,1200,Null,KLR,10,0.056
LinearMMD_test,1600,Alternative,LL,0.1,0.0840000000000001
LinearMMD_test,1600,Alternative,LL,0.5,0.08
LinearMMD_test,1600,Alternative,LL,1,0.086
LinearMMD_test,1600,Alternative,LL,median,0.07
LinearMMD_test,1600,Alternative,LL,5,0.054
LinearMMD_test,1600,Alternative,LL,10,0.044
LinearMMD_test,1600,Alternative,KLR,0.1,0.084
LinearMMD_test,1600,Alternative,KLR,0.5,0.0900000000000001
LinearMMD_test,1600,Alternative,KLR,1,0.094
LinearMMD_test,1600,Alternative,KLR,median,0.07
LinearMMD_test,1600,Alternative,KLR,5,0.1
LinearMMD_test,1600,Alternative,KLR,10,0.1
CV_LinearMMD_test,1600,Alternative,LL,0.1,0.0660000000000001
CV_LinearMMD_test,1600,Alternative,LL,0.5,0.128
CV_LinearMMD_test,1600,Alternative,LL,1,0.12
CV_LinearMMD_test,1600,Alternative,LL,median,0.0860000000000001
CV_LinearMMD_test,1600,Alternative,LL,5,0.07
CV_LinearMMD_test,1600,Alternative,LL,10,0.048
CV_LinearMMD_test,1600,Alternative,KLR,0.1,0.054
CV_LinearMMD_test,1600,Alternative,KLR,0.5,0.114
CV_LinearMMD_test,1600,Alternative,KLR,1,0.124
CV_LinearMMD_test,1600,Alternative,KLR,median,0.064
CV_LinearMMD_test,1600,Alternative,KLR,5,0.122
CV_LinearMMD_test,1600,Alternative,KLR,10,0.122
LinearMMD_test,1600,Null,LL,0.1,0.06
LinearMMD_test,1600,Null,LL,0.5,0.052
LinearMMD_test,1600,Null,LL,1,0.042
LinearMMD_test,1600,Null,LL,median,0.064
LinearMMD_test,1600,Null,LL,5,0.034
LinearMMD_test,1600,Null,LL,10,0.032
LinearMMD_test,1600,Null,KLR,0.1,0.06
LinearMMD_test,1600,Null,KLR,0.5,0.0440000000000001
LinearMMD_test,1600,Null,KLR,1,0.046
LinearMMD_test,1600,Null,KLR,median,0.066
LinearMMD_test,1600,Null,KLR,5,0.044
LinearMMD_test,1600,Null,KLR,10,0.044
CV_LinearMMD_test,1600,Null,LL,0.1,0.048
CV_LinearMMD_test,1600,Null,LL,0.5,0.0440000000000001
CV_LinearMMD_test,1600,Null,LL,1,0.052
CV_LinearMMD_test,1600,Null,LL,median,0.0460000000000001
CV_LinearMMD_test,1600,Null,LL,5,0.048
CV_LinearMMD_test,1600,Null,LL,10,0.036
CV_LinearMMD_test,1600,Null,KLR,0.1,0.046
CV_LinearMMD_test,1600,Null,KLR,0.5,0.038
CV_LinearMMD_test,1600,Null,KLR,1,0.0420000000000001
CV_LinearMMD_test,1600,Null,KLR,median,0.056
CV_LinearMMD_test,1600,Null,KLR,5,0.046
CV_LinearMMD_test,1600,Null,KLR,10,0.044
LinearMMD_test,2000,Alternative,LL,0.1,0.042
LinearMMD_test,2000,Alternative,LL,0.5,0.092
LinearMMD_test,2000,Alternative,LL,1,0.1
LinearMMD_test,2000,Alternative,LL,median,0.054
LinearMMD_test,2000,Alternative,LL,5,0.0600000000000002
LinearMMD_test,2000,Alternative,LL,10,0.04
LinearMMD_test,2000,Alternative,KLR,0.1,0.042
LinearMMD_test,2000,Alternative,KLR,0.5,0.092
LinearMMD_test,2000,Alternative,KLR,1,0.102
LinearMMD_test,2000,Alternative,KLR,median,0.052
LinearMMD_test,2000,Alternative,KLR,5,0.104
LinearMMD_test,2000,Alternative,KLR,10,0.11
CV_LinearMMD_test,2000,Alternative,LL,0.1,0.07
CV_LinearMMD_test,2000,Alternative,LL,0.5,0.164
CV_LinearMMD_test,2000,Alternative,LL,1,0.164
CV_LinearMMD_test,2000,Alternative,LL,median,0.11
CV_LinearMMD_test,2000,Alternative,LL,5,0.0820000000000001
CV_LinearMMD_test,2000,Alternative,LL,10,0.054
CV_LinearMMD_test,2000,Alternative,KLR,0.1,0.072
CV_LinearMMD_test,2000,Alternative,KLR,0.5,0.152
CV_LinearMMD_test,2000,Alternative,KLR,1,0.156
CV_LinearMMD_test,2000,Alternative,KLR,median,0.094
CV_LinearMMD_test,2000,Alternative,KLR,5,0.166
CV_LinearMMD_test,2000,Alternative,KLR,10,0.166
LinearMMD_test,2000,Null,LL,0.1,0.034
LinearMMD_test,2000,Null,LL,0.5,0.05
LinearMMD_test,2000,Null,LL,1,0.044
LinearMMD_test,2000,Null,LL,median,0.034
LinearMMD_test,2000,Null,LL,5,0.036
LinearMMD_test,2000,Null,LL,10,0.0380000000000001
LinearMMD_test,2000,Null,KLR,0.1,0.042
LinearMMD_test,2000,Null,KLR,0.5,0.064
LinearMMD_test,2000,Null,KLR,1,0.06
LinearMMD_test,2000,Null,KLR,median,0.042
LinearMMD_test,2000,Null,KLR,5,0.072
LinearMMD_test,2000,Null,KLR,10,0.072
CV_LinearMMD_test,2000,Null,LL,0.1,0.032
CV_LinearMMD_test,2000,Null,LL,0.5,0.076
CV_LinearMMD_test,2000,Null,LL,1,0.072
CV_LinearMMD_test,2000,Null,LL,median,0.044
CV_LinearMMD_test,2000,Null,LL,5,0.0620000000000001
CV_LinearMMD_test,2000,Null,LL,10,0.06
CV_LinearMMD_test,2000,Null,KLR,0.1,0.036
CV_LinearMMD_test,2000,Null,KLR,0.5,0.072
CV_LinearMMD_test,2000,Null,KLR,1,0.076
CV_LinearMMD_test,2000,Null,KLR,median,0.044
CV_LinearMMD_test,2000,Null,KLR,5,0.078
CV_LinearMMD_test,2000,Null,KLR,10,0.076
